Meta-attribuut;Waarde
Code bronbestand;ODLXTRA
Bronbestand beschrijving;Extra attributen die moeten worden toegevoegd aan een data tabel wanneer deze wordt aangemaakt.
Bronbestand naamconventie;ODLXTRA
Bronbestand leverancier;Team DWH
Bronbestand formaat;csv
Bronbestand decimaal;.
Bronbestand frequentielevering;A
Bronbestand aantal attributen;9
Bronbestand gemiddeld aantal records;13
Bronbestand voorlooprecord;0
Bronbestand sluitrecord;0
Bronbestand expiratie datum;9999-12-31
Bronbestand datum begin;2023-06-01
Bronbestand datum einde;9999-12-31
Sysdatum;
