Meta-attribuut;Waarde
Code bronbestand;ODLATR
Bronbestand beschrijving;Iedere rij in deze tabel bevat een beschrijving van de kolom die in de tabel wordt aangemaakt. De kolommen worden in deze 'root'-tabel beschreven.
Bronbestand naamconventie;ODLATR
Bronbestand leverancier;Team DWH
Bronbestand formaat;csv
Bronbestand decimaal;.
Bronbestand frequentielevering;A
Bronbestand aantal attributen;9
Bronbestand gemiddeld aantal records;13
Bronbestand voorlooprecord;0
Bronbestand sluitrecord;0
Bronbestand expiratie datum;9999-12-31
Bronbestand datum begin;2023-06-01
Bronbestand datum einde;9999-12-31
Sysdatum;
