kolomnaam;leverancier_kolomtype;datatype;keytype;constraints;domein;code_bronbestand;avg_classificatie;veiligheid_classificatie;kolom_expiratie_datum;attribuut_datum_begin;attribuut_datum_einde;beschrijving
Code bronbestand sleutel;alfanumeriek;text;PK;;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Unieke sleutel van de entiteit. Dit is volgens conventie de code van het bronbestand en een volgnummer
Code bronbestand;alfanumeriek;text;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Unieke code voor identificatie van bronbestanden (BGFMHLWD: Bezettinggraad data van FMH voor locatie Leeuwarden).
Created by;alfanumeriek;text;;;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Gberuikersnaam van de gebruiker die de tabel aanmaakte
Bronbestand beschrijving;alfanumeriek;text;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Beschrijving van het bronbestand
Bronbestand naamconventie;alfanumeriek;text;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;De standaard opbouw van de naam van het bronbestand
Bronbestand leverancier;alfanumeriek;text;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Omschrijving van de authentieke leverancier/registratie van de brondata
Bronbestand formaat;alfanumeriek;text;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Beschrijving van het formaat van het bronbestand (bv csv met puntkomma als seperator)
Bronbestand decimaal;alfanumeriek;text;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Decimale teken dat wordt gebruikt bij de aangeleverde tabellen (komma of punt of iets anders)
Bronbestand frequentielevering;alfanumeriek;text;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;De frequentie waarmee de beonbestanden worden geleverd (Jaar Halfjaar Quartaal Maand Week Dag of Anders)
Bronbestand aantal attributen;integer;integer;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Het aantal attributen in het bronbestand
Bronbestand gemiddeld aantal records;integer;integer;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Het gemiddeld aantal te verwachten records in de levering
Bronbestand voorlooprecord;waar/niet waar;boolean;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Aanduiding of het bronbestand een voorlooprecord heeft
Bronbestand sluitrecord;waar/niet waar;boolean;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Aanduiding of het bronbestand een sluitrecord heeft
Bronbestand expiratie datum;datum;date;;NOT NULL;;ODL;1;1;9999-12-31;2023-10-20;9999-12-31;Datum waarop de tabel niet meer gebruikt mag worden. Het is aan de gebruiker om hierop te controleren.
Bronbestand datum begin;datum;date;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Begindatum waarop de bronbestand wordt geleverd met bovenstaande kenmerken
Bronbestand datum einde;datum;date;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;De laatste datum waarop de bronbestand wordt geleverd met bovenstaande kenmerken
ODL version;alfganumeriek;text;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;ODL version: major.minor.patch. Patch is automatically incremented when running odl-creator, major.minor must be changed manually
ODL version date;integer;timestamp;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Date of last ODL version change
DiDo version;integer;integer;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;DiDo version: major.minor.patch. Must be manually changed at each change of DiDo
DiDo version date;integer;timestamp;;NOT NULL;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;date of DiDo version change
Reserve 1;alfanumeriek;text;;;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Reserve veld 1, vrij veld voor eigen gebruik
Reserve 2;alfanumeriek;text;;;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Reserve veld 2, vrij veld voor eigen gebruik
Reserve 3;alfanumeriek;text;;;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Reserve veld 3, vrij veld voor eigen gebruik
Reserve 4;alfanumeriek;text;;;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Reserve veld 4, vrij veld voor eigen gebruik
Reserve 5;alfanumeriek;text;;;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Reserve veld 5, vrij veld voor eigen gebruik
Sysdatum;datum;timestamp;;;;ODL;1;1;9999-12-31;2023-05-10;9999-12-31;Datum inlezen data
